compute_window_s,seed,method,feasible,D_total_ms,D_per_task_ms,substitutions,deployments,avg_D_access_ms,avg_D_compute_ms,avg_D_trans_ms,avg_D_return_ms
2.000000,0,Proposed,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,0,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,0,Importance-based Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,0,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,1,Proposed,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,1,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,1,Importance-based Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,1,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,2,Proposed,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,2,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,2,Importance-based Placement,1,9688.925002,242.223125,112.000000,7.000000,32.990788,163.457355,45.366736,0.408246
2.000000,2,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,3,Proposed,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,3,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,3,Importance-based Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,3,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,4,Proposed,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,4,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,4,Importance-based Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,4,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
3.000000,0,Proposed,1,9286.973730,232.174343,108.000000,7.000000,32.169127,165.430597,34.208012,0.366608
3.000000,0,Random Placement,1,10452.909683,261.322742,108.000000,7.000000,32.169127,170.664818,57.920424,0.568373
3.000000,0,Importance-based Placement,1,10990.114400,274.752860,100.000000,7.000000,32.169127,191.790175,50.390314,0.403244
3.000000,0,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
3.000000,1,Proposed,1,10857.891738,271.447293,112.000000,6.000000,36.202930,189.948377,44.891032,0.404955
3.000000,1,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
3.000000,1,Importance-based Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
3.000000,1,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
3.000000,2,Proposed,1,9464.207504,236.605188,114.000000,7.000000,32.990788,159.135802,44.078192,0.400405
3.000000,2,Random Placement,1,9897.466332,247.436658,114.000000,7.000000,32.990788,153.585900,60.329150,0.530819
3.000000,2,Importance-based Placement,1,9688.925002,242.223125,112.000000,7.000000,32.990788,163.457355,45.366736,0.408246
3.000000,2,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
3.000000,3,Proposed,1,9468.199998,236.705000,117.000000,5.000000,33.631725,160.972497,41.646444,0.454333
3.000000,3,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
3.000000,3,Importance-based Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
3.000000,3,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
3.000000,4,Proposed,1,10366.669395,259.166735,122.000000,7.000000,37.821053,185.249594,35.685714,0.410374
3.000000,4,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
3.000000,4,Importance-based Placement,1,10710.305560,267.757639,124.000000,7.000000,37.821053,195.037980,34.517344,0.381262
3.000000,4,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
4.000000,0,Proposed,1,9286.973730,232.174343,108.000000,7.000000,32.169127,165.430597,34.208012,0.366608
4.000000,0,Random Placement,1,10452.909683,261.322742,108.000000,7.000000,32.169127,170.664818,57.920424,0.568373
4.000000,0,Importance-based Placement,1,10036.427991,250.910700,108.000000,7.000000,32.169127,172.317463,46.035587,0.388523
4.000000,0,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
4.000000,1,Proposed,1,10857.891738,271.447293,112.000000,6.000000,36.202930,189.948377,44.891032,0.404955
4.000000,1,Random Placement,1,13108.389913,327.709748,77.000000,6.000000,36.202930,243.531376,47.524677,0.450765
4.000000,1,Importance-based Placement,1,13657.490789,341.437270,77.000000,6.000000,36.202930,250.573090,54.229817,0.431433
4.000000,1,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
4.000000,2,Proposed,1,9464.207504,236.605188,114.000000,7.000000,32.990788,159.135802,44.078192,0.400405
4.000000,2,Random Placement,1,9897.466332,247.436658,114.000000,7.000000,32.990788,153.585900,60.329150,0.530819
4.000000,2,Importance-based Placement,1,9688.925002,242.223125,112.000000,7.000000,32.990788,163.457355,45.366736,0.408246
4.000000,2,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
4.000000,3,Proposed,1,9468.199998,236.705000,117.000000,5.000000,33.631725,160.972497,41.646444,0.454333
4.000000,3,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
4.000000,3,Importance-based Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
4.000000,3,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
4.000000,4,Proposed,1,10317.251519,257.931288,123.000000,7.000000,37.821053,183.748894,35.950967,0.410374
4.000000,4,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
4.000000,4,Importance-based Placement,1,10637.818875,265.945472,125.000000,7.000000,37.821053,193.247369,34.495788,0.381262
4.000000,4,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
5.000000,0,Proposed,1,9286.973730,232.174343,108.000000,7.000000,32.169127,165.430597,34.208012,0.366608
5.000000,0,Random Placement,1,10452.909683,261.322742,108.000000,7.000000,32.169127,170.664818,57.920424,0.568373
5.000000,0,Importance-based Placement,1,10036.427991,250.910700,108.000000,7.000000,32.169127,172.317463,46.035587,0.388523
5.000000,0,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
5.000000,1,Proposed,1,10857.891738,271.447293,112.000000,6.000000,36.202930,189.948377,44.891032,0.404955
5.000000,1,Random Placement,1,13108.389913,327.709748,77.000000,6.000000,36.202930,243.531376,47.524677,0.450765
5.000000,1,Importance-based Placement,1,13657.490789,341.437270,77.000000,6.000000,36.202930,250.573090,54.229817,0.431433
5.000000,1,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
5.000000,2,Proposed,1,9464.207504,236.605188,114.000000,7.000000,32.990788,159.135802,44.078192,0.400405
5.000000,2,Random Placement,1,9897.466332,247.436658,114.000000,7.000000,32.990788,153.585900,60.329150,0.530819
5.000000,2,Importance-based Placement,1,9688.925002,242.223125,112.000000,7.000000,32.990788,163.457355,45.366736,0.408246
5.000000,2,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
5.000000,3,Proposed,1,9468.199998,236.705000,117.000000,5.000000,33.631725,160.972497,41.646444,0.454333
5.000000,3,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
5.000000,3,Importance-based Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
5.000000,3,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
5.000000,4,Proposed,1,10317.251519,257.931288,123.000000,7.000000,37.821053,183.748894,35.950967,0.410374
5.000000,4,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
5.000000,4,Importance-based Placement,1,10637.818875,265.945472,125.000000,7.000000,37.821053,193.247369,34.495788,0.381262
5.000000,4,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
6.000000,0,Proposed,1,9286.973730,232.174343,108.000000,7.000000,32.169127,165.430597,34.208012,0.366608
6.000000,0,Random Placement,1,10452.909683,261.322742,108.000000,7.000000,32.169127,170.664818,57.920424,0.568373
6.000000,0,Importance-based Placement,1,10036.427991,250.910700,108.000000,7.000000,32.169127,172.317463,46.035587,0.388523
6.000000,0,No-similarity Placement,1,19541.619017,488.540475,0.000000,4.000000,32.169127,414.660265,41.334628,0.376456
6.000000,1,Proposed,1,10857.891738,271.447293,112.000000,6.000000,36.202930,189.948377,44.891032,0.404955
6.000000,1,Random Placement,1,13108.389913,327.709748,77.000000,6.000000,36.202930,243.531376,47.524677,0.450765
6.000000,1,Importance-based Placement,1,13657.490789,341.437270,77.000000,6.000000,36.202930,250.573090,54.229817,0.431433
6.000000,1,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
6.000000,2,Proposed,1,9464.207504,236.605188,114.000000,7.000000,32.990788,159.135802,44.078192,0.400405
6.000000,2,Random Placement,1,9897.466332,247.436658,114.000000,7.000000,32.990788,153.585900,60.329150,0.530819
6.000000,2,Importance-based Placement,1,9688.925002,242.223125,112.000000,7.000000,32.990788,163.457355,45.366736,0.408246
6.000000,2,No-similarity Placement,1,18618.278111,465.456953,0.000000,4.000000,32.990788,381.652662,50.438234,0.375268
6.000000,3,Proposed,1,9468.199998,236.705000,117.000000,5.000000,33.631725,160.972497,41.646444,0.454333
6.000000,3,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
6.000000,3,Importance-based Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
6.000000,3,No-similarity Placement,1,17971.975834,449.299396,0.000000,4.000000,33.631725,366.891786,48.285855,0.490030
6.000000,4,Proposed,1,10317.251519,257.931288,123.000000,7.000000,37.821053,183.748894,35.950967,0.410374
6.000000,4,Random Placement,1,14654.801145,366.370029,86.000000,6.000000,37.821053,283.704951,44.462763,0.381262
6.000000,4,Importance-based Placement,1,10637.818875,265.945472,125.000000,7.000000,37.821053,193.247369,34.495788,0.381262
6.000000,4,No-similarity Placement,1,19378.525328,484.463133,0.000000,4.000000,37.821053,391.374937,54.842783,0.424360
7.000000,0,Proposed,1,9286.973730,232.174343,108.000000,7.000000,32.169127,165.430597,34.208012,0.366608
7.000000,0,Random Placement,1,10452.909683,261.322742,108.000000,7.000000,32.169127,170.664818,57.920424,0.568373
7.000000,0,Importance-based Placement,1,10036.427991,250.910700,108.000000,7.000000,32.169127,172.317463,46.035587,0.388523
7.000000,0,No-similarity Placement,1,19541.619017,488.540475,0.000000,4.000000,32.169127,414.660265,41.334628,0.376456
7.000000,1,Proposed,1,10857.891738,271.447293,112.000000,6.000000,36.202930,189.948377,44.891032,0.404955
7.000000,1,Random Placement,1,13108.389913,327.709748,77.000000,6.000000,36.202930,243.531376,47.524677,0.450765
7.000000,1,Importance-based Placement,1,13657.490789,341.437270,77.000000,6.000000,36.202930,250.573090,54.229817,0.431433
7.000000,1,No-similarity Placement,1,20027.065232,500.676631,0.000000,4.000000,36.202930,419.177714,44.891032,0.404955
7.000000,2,Proposed,1,9464.207504,236.605188,114.000000,7.000000,32.990788,159.135802,44.078192,0.400405
7.000000,2,Random Placement,1,9897.466332,247.436658,114.000000,7.000000,32.990788,153.585900,60.329150,0.530819
7.000000,2,Importance-based Placement,1,9688.925002,242.223125,112.000000,7.000000,32.990788,163.457355,45.366736,0.408246
7.000000,2,No-similarity Placement,1,18618.278111,465.456953,0.000000,4.000000,32.990788,381.652662,50.438234,0.375268
7.000000,3,Proposed,1,9468.199998,236.705000,117.000000,5.000000,33.631725,160.972497,41.646444,0.454333
7.000000,3,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
7.000000,3,Importance-based Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
7.000000,3,No-similarity Placement,1,17971.975834,449.299396,0.000000,4.000000,33.631725,366.891786,48.285855,0.490030
7.000000,4,Proposed,1,10317.251519,257.931288,123.000000,7.000000,37.821053,183.748894,35.950967,0.410374
7.000000,4,Random Placement,1,14654.801145,366.370029,86.000000,6.000000,37.821053,283.704951,44.462763,0.381262
7.000000,4,Importance-based Placement,1,10637.818875,265.945472,125.000000,7.000000,37.821053,193.247369,34.495788,0.381262
7.000000,4,No-similarity Placement,1,19378.525328,484.463133,0.000000,4.000000,37.821053,391.374937,54.842783,0.424360
8.000000,0,Proposed,1,9286.973730,232.174343,108.000000,7.000000,32.169127,165.430597,34.208012,0.366608
8.000000,0,Random Placement,1,10452.909683,261.322742,108.000000,7.000000,32.169127,170.664818,57.920424,0.568373
8.000000,0,Importance-based Placement,1,10036.427991,250.910700,108.000000,7.000000,32.169127,172.317463,46.035587,0.388523
8.000000,0,No-similarity Placement,1,19541.619017,488.540475,0.000000,4.000000,32.169127,414.660265,41.334628,0.376456
8.000000,1,Proposed,1,10857.891738,271.447293,112.000000,6.000000,36.202930,189.948377,44.891032,0.404955
8.000000,1,Random Placement,1,13108.389913,327.709748,77.000000,6.000000,36.202930,243.531376,47.524677,0.450765
8.000000,1,Importance-based Placement,1,13657.490789,341.437270,77.000000,6.000000,36.202930,250.573090,54.229817,0.431433
8.000000,1,No-similarity Placement,1,20027.065232,500.676631,0.000000,4.000000,36.202930,419.177714,44.891032,0.404955
8.000000,2,Proposed,1,9464.207504,236.605188,114.000000,7.000000,32.990788,159.135802,44.078192,0.400405
8.000000,2,Random Placement,1,9897.466332,247.436658,114.000000,7.000000,32.990788,153.585900,60.329150,0.530819
8.000000,2,Importance-based Placement,1,9688.925002,242.223125,112.000000,7.000000,32.990788,163.457355,45.366736,0.408246
8.000000,2,No-similarity Placement,1,18618.278111,465.456953,0.000000,4.000000,32.990788,381.652662,50.438234,0.375268
8.000000,3,Proposed,1,9468.199998,236.705000,117.000000,5.000000,33.631725,160.972497,41.646444,0.454333
8.000000,3,Random Placement,1,16961.097103,424.027428,44.000000,5.000000,33.631725,317.291813,72.474247,0.629643
8.000000,3,Importance-based Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
8.000000,3,No-similarity Placement,1,17971.975834,449.299396,0.000000,4.000000,33.631725,366.891786,48.285855,0.490030
8.000000,4,Proposed,1,10317.251519,257.931288,123.000000,7.000000,37.821053,183.748894,35.950967,0.410374
8.000000,4,Random Placement,1,14654.801145,366.370029,86.000000,6.000000,37.821053,283.704951,44.462763,0.381262
8.000000,4,Importance-based Placement,1,10637.818875,265.945472,125.000000,7.000000,37.821053,193.247369,34.495788,0.381262
8.000000,4,No-similarity Placement,1,19378.525328,484.463133,0.000000,4.000000,37.821053,391.374937,54.842783,0.424360
9.000000,0,Proposed,1,9286.973730,232.174343,108.000000,7.000000,32.169127,165.430597,34.208012,0.366608
9.000000,0,Random Placement,1,10452.909683,261.322742,108.000000,7.000000,32.169127,170.664818,57.920424,0.568373
9.000000,0,Importance-based Placement,1,10036.427991,250.910700,108.000000,7.000000,32.169127,172.317463,46.035587,0.388523
9.000000,0,No-similarity Placement,1,19541.619017,488.540475,0.000000,4.000000,32.169127,414.660265,41.334628,0.376456
9.000000,1,Proposed,1,10857.891738,271.447293,112.000000,6.000000,36.202930,189.948377,44.891032,0.404955
9.000000,1,Random Placement,1,13108.389913,327.709748,77.000000,6.000000,36.202930,243.531376,47.524677,0.450765
9.000000,1,Importance-based Placement,1,13657.490789,341.437270,77.000000,6.000000,36.202930,250.573090,54.229817,0.431433
9.000000,1,No-similarity Placement,1,20027.065232,500.676631,0.000000,4.000000,36.202930,419.177714,44.891032,0.404955
9.000000,2,Proposed,1,9464.207504,236.605188,114.000000,7.000000,32.990788,159.135802,44.078192,0.400405
9.000000,2,Random Placement,1,9897.466332,247.436658,114.000000,7.000000,32.990788,153.585900,60.329150,0.530819
9.000000,2,Importance-based Placement,1,9688.925002,242.223125,112.000000,7.000000,32.990788,163.457355,45.366736,0.408246
9.000000,2,No-similarity Placement,1,18618.278111,465.456953,0.000000,4.000000,32.990788,381.652662,50.438234,0.375268
9.000000,3,Proposed,1,9468.199998,236.705000,117.000000,5.000000,33.631725,160.972497,41.646444,0.454333
9.000000,3,Random Placement,1,16961.097103,424.027428,44.000000,5.000000,33.631725,317.291813,72.474247,0.629643
9.000000,3,Importance-based Placement,1,18618.060113,465.451503,26.000000,5.000000,33.631725,375.658585,55.590022,0.571171
9.000000,3,No-similarity Placement,1,17971.975834,449.299396,0.000000,4.000000,33.631725,366.891786,48.285855,0.490030
9.000000,4,Proposed,1,10317.251519,257.931288,123.000000,7.000000,37.821053,183.748894,35.950967,0.410374
9.000000,4,Random Placement,1,14654.801145,366.370029,86.000000,6.000000,37.821053,283.704951,44.462763,0.381262
9.000000,4,Importance-based Placement,1,10637.818875,265.945472,125.000000,7.000000,37.821053,193.247369,34.495788,0.381262
9.000000,4,No-similarity Placement,1,19378.525328,484.463133,0.000000,4.000000,37.821053,391.374937,54.842783,0.424360
10.000000,0,Proposed,1,9286.973730,232.174343,108.000000,7.000000,32.169127,165.430597,34.208012,0.366608
10.000000,0,Random Placement,1,10452.909683,261.322742,108.000000,7.000000,32.169127,170.664818,57.920424,0.568373
10.000000,0,Importance-based Placement,1,10036.427991,250.910700,108.000000,7.000000,32.169127,172.317463,46.035587,0.388523
10.000000,0,No-similarity Placement,1,19541.619017,488.540475,0.000000,4.000000,32.169127,414.660265,41.334628,0.376456
10.000000,1,Proposed,1,10857.891738,271.447293,112.000000,6.000000,36.202930,189.948377,44.891032,0.404955
10.000000,1,Random Placement,1,13108.389913,327.709748,77.000000,6.000000,36.202930,243.531376,47.524677,0.450765
10.000000,1,Importance-based Placement,1,13657.490789,341.437270,77.000000,6.000000,36.202930,250.573090,54.229817,0.431433
10.000000,1,No-similarity Placement,1,20027.065232,500.676631,0.000000,4.000000,36.202930,419.177714,44.891032,0.404955
10.000000,2,Proposed,1,9464.207504,236.605188,114.000000,7.000000,32.990788,159.135802,44.078192,0.400405
10.000000,2,Random Placement,1,9897.466332,247.436658,114.000000,7.000000,32.990788,153.585900,60.329150,0.530819
10.000000,2,Importance-based Placement,1,9688.925002,242.223125,112.000000,7.000000,32.990788,163.457355,45.366736,0.408246
10.000000,2,No-similarity Placement,1,18618.278111,465.456953,0.000000,4.000000,32.990788,381.652662,50.438234,0.375268
10.000000,3,Proposed,1,9468.199998,236.705000,117.000000,5.000000,33.631725,160.972497,41.646444,0.454333
10.000000,3,Random Placement,1,16961.097103,424.027428,44.000000,5.000000,33.631725,317.291813,72.474247,0.629643
10.000000,3,Importance-based Placement,1,18618.060113,465.451503,26.000000,5.000000,33.631725,375.658585,55.590022,0.571171
10.000000,3,No-similarity Placement,1,17971.975834,449.299396,0.000000,4.000000,33.631725,366.891786,48.285855,0.490030
10.000000,4,Proposed,1,10317.251519,257.931288,123.000000,7.000000,37.821053,183.748894,35.950967,0.410374
10.000000,4,Random Placement,1,14654.801145,366.370029,86.000000,6.000000,37.821053,283.704951,44.462763,0.381262
10.000000,4,Importance-based Placement,1,10637.818875,265.945472,125.000000,7.000000,37.821053,193.247369,34.495788,0.381262
10.000000,4,No-similarity Placement,1,19378.525328,484.463133,0.000000,4.000000,37.821053,391.374937,54.842783,0.424360
